idnumber,City_ Location,day,Sex,Age,Time,Day_of_week,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Lanes_or_Medians,Road_allignment,Road_surface_type,Vehicle_movement,Label,results
t02jngq0,Nagpur,12-12-19,M,36,12:48:00,Tuesday,Junior high school,Employee,2-5yr,Other,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,,0,0
zaeg1ujv,Gurgaon,13-12-19,M,48,5:10:00,Monday,Junior high school,Employee,1-2yr,Pick up upto 10Q,Governmental,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
2bbcl08w,New Delhi,14-12-19,F,47,10:35:00,Wednesday,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,,Unknown,Tangent road with flat terrain,Asphalt roads,,0,0
m1zj87re,Bangalore,15-12-19,M,53,10:35:00,Tuesday,Junior high school,Owner,Below 1yr,Automobile,Owner,2-5yrs,,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
ixv1snkw,New Delhi,16-12-19,M,65,10:35:00,Tuesday,Junior high school,Employee,Below 1yr,Long lorry,Owner,Unknown,other,Tangent road with flat terrain,Earth roads,Going straight,1,1
timtcooh,Pune,17-12-19,M,32,8:45:00,Friday,Writing & reading,Employee,Below 1yr,Automobile,Owner,Above 10yr,,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
2rvnec9l,Mumbai,18-12-19,M,61,8:45:00,Friday,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,One way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
oen0ycsr,Mumbai / Global,19-12-19,M,50,20:14:00,Monday,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
zvcmg0tg,India / US,20-12-19,M,57,20:14:00,Monday,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Other,1,1
5c1rhmmm,Kanpur,21-12-19,M,51,20:14:00,Monday,Junior high school,Owner,Below 1yr,Other,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Other,1,1
l7iovqmg,Coimbatore,22-12-19,F,47,12:38:00,Friday,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Two-way (divided with broken lines road marking),,Asphalt roads,Going straight,1,1
4ctnup7c,Mumbai,23-12-19,M,60,10:05:00,Thursday,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Governmental,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
yfmng12f,Bangalore,24-12-19,M,55,10:05:00,Thursday,Junior high school,Employee,5-10yr,Long lorry,Governmental,,other,Tangent road with flat terrain,Asphalt roads,Getting off,1,1
03id5o2g,Ahmedabad,25-12-19,M,53,0:02:00,Monday,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,other,Tangent road with flat terrain,Other,Going straight,1,1
0fjh10v7,New Delhi,26-12-19,M,62,0:02:00,Monday,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
vobbd18i,Bangalore,27-12-19,M,51,17:25:00,Monday,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
p95vzcoy,\\xc2\\xa0Noida,28-12-19,M,51,17:25:00,Monday,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Organization,Unknown,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
nmt221tu,\\xc2\\xa0Bangalore,29-12-19,M,55,23:20:00,Saturday,Junior high school,Employee,2-5yr,Automobile,Governmental,2-5yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
5ts3kk10,\\xc2\\xa0Gurgaon,30-12-19,M,53,16:00:00,Friday,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Getting off,1,1
n85jp1f3,\\xc2\\xa0New Delhi,31-12-19,M,58,7:30:00,Sunday,Junior high school,Employee,Below 1yr,,Owner,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
9qlndtuo,\\xc2\\xa0New Delhi,01-01-20,M,57,6:45:00,Friday,Junior high school,Owner,5-10yr,Other,,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
7og5umiq,\\xc2\\xa0Gurgaon,02-01-20,M,65,6:45:00,Friday,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Earth roads,Other,0,0
15e043uf,\\xc2\\xa0Mumbai,03-01-20,M,60,17:18:00,Tuesday,Elementary school,Employee,Below 1yr,Pick up upto 10Q,Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
wo6356vq,\\xc2\\xa0Gurgaon,04-01-20,F,41,17:18:00,Tuesday,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
hxvh11l3,\\xc2\\xa0New Delhi,05-01-20,M,34,11:20:00,Sunday,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
bwiax7vn,\\xc2\\xa0Gurgaon,06-01-20,M,53,16:51:00,Thursday,High school,Employee,Above 10yr,Automobile,Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
bzsc9289,Hyderabad,07-01-20,M,74,16:51:00,Thursday,High school,Employee,Above 10yr,Other,Owner,1-2yr,other,Steep grade downward with mountainous terrain,Asphalt roads,Going straight,1,1
8qu0o66c,Bangalore,08-01-20,F,57,14:47:00,Tuesday,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Asphalt roads,Reversing,1,1
bmmfjq1e,Mumbai,09-01-20,M,56,14:47:00,Tuesday,Elementary school,Employee,1-2yr,Stationwagen,Owner,Below 1yr,other,Steep grade downward with mountainous terrain,Asphalt roads,Other,1,1
cmzi5psg,Bangalore,10-01-20,M,61,14:45:00,Thursday,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
nq7fntns,Bangalore,11-01-20,M,68,14:45:00,Thursday,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
lffsogc9,Mumbai,12-01-20,M,59,23:01:00,Wednesday,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
iejvdmiq,Gurgaon,13-01-20,M,63,23:01:00,Wednesday,Junior high school,Owner,5-10yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
b6bm8do1,Pune,14-01-20,M,38,18:16:00,Wednesday,High school,Owner,Above 10yr,Lorry (41?100Q),Owner,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
u0uufvix,New Delhi,15-01-20,M,62,18:16:00,Wednesday,,Owner,Below 1yr,,Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
p7dy685q,Bangalore,16-01-20,M,46,7:25:00,Monday,Writing & reading,Owner,5-10yr,Public (12 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
1d33lv3p,Mumbai,17-01-20,M,42,7:25:00,Monday,Above high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
8ntjd2vk,Mumbai,18-01-20,M,45,16:55:00,Monday,High school,Employee,Below 1yr,Stationwagen,Owner,2-5yrs,Undivided Two way,Tangent road with mountainous terrain and,Earth roads,Going straight,0,0
3x2qf3yu,Mumbai,19-01-20,M,59,16:55:00,Monday,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Moving Backward,1,1
ge7skngl,New Delhi,20-01-20,M,52,19:39:00,Friday,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,Undivided Two way,Tangent road with flat terrain,,Moving Backward,0,0
p7gbj751,Bangalore,21-01-20,M,60,19:39:00,Friday,Junior high school,Owner,Above 10yr,Other,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Turnover,1,1
yhrajkhu,Bangalore,22-01-20,M,60,2:05:00,Sunday,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,other,Tangent road with flat terrain,Asphalt roads,Other,0,0
nxblwna5,New Delhi,23-01-20,F,56,11:45:00,Friday,Junior high school,Employee,No Licence,,Owner,Unknown,,Steep grade downward with mountainous terrain,Asphalt roads,Other,1,1
ekxsv91t,Bangalore,24-01-20,M,38,17:53:00,Wednesday,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,Unknown,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
yxx3xxio,Mumbai,25-01-20,M,40,16:40:00,Monday,Illiterate,Owner,1-2yr,Automobile,Owner,Unknown,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Asphalt roads,Going straight,0,0
hfj48d08,Bangalore,26-01-20,M,51,16:40:00,Monday,Junior high school,Owner,Below 1yr,Public (13?45 seats),Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Asphalt roads,Other,1,1
zimhe0a0,,27-01-20,M,62,12:10:00,Friday,Junior high school,Owner,1-2yr,Automobile,Governmental,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Other,1,1
r7m1x239,Ahmedabad,28-01-20,M,72,12:10:00,Friday,Junior high school,Owner,2-5yr,Lorry (41?100Q),,,,Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,1,1
aidohvlu,Mumbai,29-01-20,M,63,12:03:00,Thursday,Unknown,Owner,5-10yr,Public (12 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Asphalt roads,Reversing,1,1
gkjorkqv,Bangalore,30-01-20,M,63,23:25:00,Thursday,Unknown,Owner,Above 10yr,Motorcycle,Governmental,,Double carriageway (median),Tangent road with flat terrain,Gravel roads,Other,1,1
vkjcheaz,Bangalore,31-01-20,M,64,8:38:00,Thursday,Junior high school,Owner,2-5yr,Public (12 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Turnover,1,1
u86ggw11,Mumbai,01-02-20,M,43,8:38:00,Thursday,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
ch4kere3,Mumbai,02-02-20,M,64,8:57:00,Tuesday,Writing & reading,Owner,5-10yr,Automobile,Owner,Below 1yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
9z8z03rp,New Delhi,03-02-20,M,61,8:57:00,Tuesday,,Owner,,Lorry (41?100Q),Organization,1-2yr,,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
aupjlpfm,Gurgaon,04-02-20,M,52,13:18:00,Thursday,Junior high school,Owner,5-10yr,Stationwagen,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
96c2nigv,New Delhi,05-02-20,M,51,13:18:00,Thursday,Junior high school,Owner,Below 1yr,Pick up upto 10Q,Owner,1-2yr,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,1,1
d66lwylf,Mumbai,06-02-20,M,69,8:30:00,Thursday,Junior high school,Owner,2-5yr,Automobile,Owner,,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,1,1
nuep8nim,Hyderabad,07-02-20,M,59,8:30:00,Thursday,Elementary school,Employee,2-5yr,Automobile,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
ev4pasbk,Bangalore,08-02-20,M,48,18:46:00,Friday,Junior high school,Employee,2-5yr,,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
q592l114,Bangalore,09-02-20,M,69,18:46:00,Friday,Junior high school,Employee,2-5yr,Other,Owner,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
jryjxpnh,Bangalore,10-02-20,M,36,22:31:00,Wednesday,Junior high school,Employee,5-10yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Other,1,1
vzela5d0,Mumbai,11-02-20,M,53,22:31:00,Wednesday,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
ehcu68cg,Bangalore,12-02-20,M,43,10:25:00,Wednesday,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
1wmp43ti,Bangalore,13-02-20,M,56,10:25:00,Wednesday,Elementary school,Employee,5-10yr,Automobile,,,,Tangent road with flat terrain,Asphalt roads,Moving Backward,0,0
q333qgps,Mumbai,14-02-20,M,58,8:50:00,Tuesday,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Undivided Two way,Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,0,0
tymoeyoo,Mumbai,15-02-20,M,55,8:50:00,Tuesday,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Moving Backward,1,1
gthsy86t,New Delhi,16-02-20,M,67,1:00:00,Friday,Elementary school,Owner,,Lorry (41?100Q),Owner,Unknown,other,Tangent road with flat terrain,Asphalt roads,Other,0,0
qxjmr8qu,Bangalore,17-02-20,M,46,1:00:00,Friday,Junior high school,Owner,5-10yr,Automobile,Owner,5-10yrs,other,Tangent road with flat terrain,Other,Going straight,1,1
i33xzsfz,Gurgaon,18-02-20,M,53,17:25:00,Wednesday,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,1,1
1qgpa45q,Mumbai,19-02-20,M,38,17:25:00,Wednesday,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
0cah15lg,Mumbai,20-02-20,M,53,20:15:00,Saturday,,,,Lorry (41?100Q),Owner,,One way,Tangent road with flat terrain,Asphalt roads,Other,1,1
yj9mb88g,New Delhi,21-02-20,M,62,20:15:00,Saturday,Junior high school,Employee,5-10yr,Automobile,Governmental,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Other,0,0
33fs6exl,Bangalore,22-02-20,M,47,7:58:00,Wednesday,Junior high school,Employee,5-10yr,Stationwagen,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Other,1,1
kjpmh3ap,Mumbai,23-02-20,M,56,7:58:00,Wednesday,Junior high school,Employee,Above 10yr,Motorcycle,Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Stopping,1,1
ex4m0txf,Chennai,24-02-20,M,56,7:47:00,Wednesday,High school,Employee,Above 10yr,,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Other,1,1
vijh6x1l,Bangalore,25-02-20,M,56,7:47:00,Wednesday,Junior high school,Employee,Above 10yr,Other,Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Other,0,0
0rhgmtbo,Gurgaon,26-02-20,M,64,7:25:00,Tuesday,Junior high school,Employee,Above 10yr,Automobile,,,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Other,1,1
gex0zvoa,Bangalore,27-02-20,M,61,7:25:00,Tuesday,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
wgs69cu6,Pune,28-02-20,M,68,7:25:00,Tuesday,Junior high school,Employee,Above 10yr,,Governmental,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
27gutwjd,Gurgaon,01-03-20,M,57,17:55:00,Tuesday,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,1,1
sxkr87bx,New Delhi,02-03-20,M,63,17:55:00,Tuesday,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
7nw0fwbw,New Delhi,03-03-20,M,60,1:00:00,Friday,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
vbmkasx2,Mumbai,04-03-20,M,66,14:15:00,Thursday,Junior high school,Employee,Below 1yr,Automobile,Owner,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
lxtuig9w,New Delhi,05-03-20,M,63,6:14:00,Friday,Junior high school,Employee,2-5yr,Other,Owner,,One way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
6zzunn00,New Delhi,06-03-20,M,59,6:14:00,Friday,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Governmental,,Undivided Two way,Tangent road with flat terrain,,Going straight,1,1
opjd4ylh,Mumbai,07-03-20,M,61,13:25:00,Thursday,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,,Undivided Two way,Tangent road with flat terrain,Other,Going straight,1,1
w5dxuyg1,Mumbai,08-03-20,M,73,13:25:00,Thursday,Junior high school,Employee,,Public (13?45 seats),Owner,,One way,Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,0,0
ksodnkic,Chennai,09-03-20,M,47,15:10:00,Thursday,,Employee,5-10yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
rbjkugw4,Hyderabad,10-03-20,M,65,10:36:00,Tuesday,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,0,0
a5xknb8f,Pune / US,11-03-20,M,70,10:36:00,Tuesday,Junior high school,Employee,Below 1yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
9zgc6xrb,Pune,12-03-20,M,50,13:53:00,Saturday,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Below 1yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads with some distress,Other,1,1
dcvgh0wj,Udaipur,13-03-20,M,60,13:23:00,Monday,Elementary school,Employee,Above 10yr,Automobile,Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,,,0,0
84fwup69,Mumbai,14-03-20,M,50,13:23:00,Monday,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Getting off,1,1
r2sjv9ih,Mumbai,15-03-20,M,43,12:45:00,Saturday,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
rqsn0g8q,New Delhi,16-03-20,F,38,12:45:00,Saturday,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
x7wy4ooh,Pune / US,17-03-20,M,54,9:30:00,Friday,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
8gbktpt3,New Delhi,18-03-20,M,61,9:30:00,Friday,Above high school,Employee,Above 10yr,Automobile,Owner,1-2yr,Undivided Two way,Tangent road with flat terrain,Earth roads,Going straight,1,1
00n9xho8,New Delhi,19-03-20,M,42,17:57:00,Tuesday,Junior high school,Employee,2-5yr,Other,Owner,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,Turnover,0,0
9q6ywtwd,Pune,20-03-20,M,53,8:40:00,Tuesday,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Entering a junction,0,0
22fctxk4,Gurgaon,21-03-20,M,55,15:50:00,Tuesday,High school,Employee,1-2yr,Other,Owner,1-2yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Entering a junction,1,1
y77v6t1w,New Delhi,22-03-20,M,61,23:05:00,Thursday,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,other,Steep grade downward with mountainous terrain,Asphalt roads,Entering a junction,0,0
bn26y7ry,Noida,23-03-20,M,51,22:22:00,Saturday,Junior high school,Employee,Below 1yr,Other,Owner,1-2yr,One way,Tangent road with flat terrain,Asphalt roads,Entering a junction,0,0
uzatktbf,Mumbai,24-03-20,M,70,19:50:00,Wednesday,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Other,0,0
393k3lq6,Bangalore,25-03-20,M,61,19:50:00,Wednesday,Elementary school,Employee,,Public (12 seats),Owner,1-2yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Entering a junction,1,1
cc3jycpi,Mumbai,26-03-20,M,38,21:35:00,Saturday,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,1-2yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Turnover,1,1
3rw8aawh,Bangalore,27-03-20,M,57,17:25:00,Thursday,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,other,Tangent road with flat terrain,Asphalt roads,Entering a junction,0,0
32w6g7qk,Chandigarh,28-03-20,M,38,11:45:00,Saturday,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Entering a junction,1,1
w1zrxmem,New Delhi,29-03-20,M,62,11:45:00,Saturday,High school,Employee,1-2yr,Other,Owner,1-2yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Entering a junction,1,1
gpnk6t59,Mumbai,30-03-20,M,58,8:40:00,Tuesday,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,Undivided Two way,Tangent road with flat terrain,Gravel roads,Entering a junction,0,0
v7yrc0q5,New Delhi,31-03-20,M,52,8:40:00,Tuesday,Junior high school,Employee,Below 1yr,,Governmental,Below 1yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Entering a junction,1,1
71e400kr,Bangalore,01-04-20,M,61,10:00:00,Tuesday,High school,Employee,Above 10yr,Public (> 45 seats),Owner,,other,Steep grade downward with mountainous terrain,Asphalt roads,Other,1,1
60o3anwu,Gurgaon,02-04-20,M,50,10:00:00,Tuesday,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,,other,Steep grade downward with mountainous terrain,Asphalt roads,Going straight,0,0
3se2j4tc,New Delhi,03-04-20,M,51,19:07:00,Thursday,Elementary school,Employee,Below 1yr,Other,Owner,Above 10yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
mqjwnp98,Bangalore,04-04-20,M,65,19:07:00,Thursday,Junior high school,Employee,5-10yr,Other,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Other,1,1
0pfrk5uk,Mumbai,05-04-20,M,52,11:20:00,Friday,Elementary school,Owner,5-10yr,Automobile,Owner,,Two-way (divided with broken lines road marking),Escarpments,Asphalt roads,Going straight,1,1
9815ikzg,Bangalore,06-04-20,M,47,11:20:00,Friday,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Asphalt roads,Going straight,0,0
0npcun9p,Mumbai,07-04-20,M,35,11:00:00,Wednesday,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,2-5yrs,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Going straight,0,0
dp90eo2u,Gurgaon,08-04-20,M,57,5:35:00,Monday,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Going straight,0,0
osol7wdp,Ahmedabad,09-04-20,M,62,17:46:00,Tuesday,High school,Employee,1-2yr,,Owner,,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Going straight,1,1
sqxlnk9e,Bangalore,10-04-20,M,59,17:46:00,Tuesday,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,0,0
gwrauo5n,Bangalore,11-04-20,M,53,7:00:00,Saturday,Elementary school,Employee,2-5yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Moving Backward,1,1
zoxb300y,Bangalore,12-04-20,M,62,7:00:00,Saturday,Junior high school,Employee,Below 1yr,Stationwagen,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Overtaking,1,1
i8g9y5qm,Mumbai,13-04-20,F,54,15:00:00,Thursday,Junior high school,Employee,Below 1yr,Other,Owner,Above 10yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
rkdvds4t,Delhi,14-04-20,M,56,15:00:00,Thursday,Junior high school,Employee,5-10yr,,Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,1,1
qlekpl0e,Mumbai,15-04-20,M,56,8:30:00,Monday,Junior high school,Owner,5-10yr,Ridden horse,Owner,Above 10yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
15q6qr4z,Mumbai,16-04-20,M,54,8:22:00,Thursday,Elementary school,Employee,1-2yr,,Owner,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
1apf9w7j,Bangalore,17-04-20,M,66,8:22:00,Thursday,Junior high school,Employee,,Other,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
bv9mngl3,Mumbai,18-04-20,M,63,17:30:00,Tuesday,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
5lh5lijn,New Delhi,19-04-20,M,44,17:30:00,Tuesday,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
q1uje0xq,Bangalore,20-04-20,M,60,13:23:00,Tuesday,,,,Lorry (41?100Q),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Reversing,1,1
eenijt7f,Mumbai,21-04-20,M,55,2:20:00,Friday,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Above 10yr,other,Tangent road with flat terrain,Other,Going straight,1,1
hylxi96f,Bangalore,22-04-20,M,66,6:11:00,Sunday,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Going straight,1,1
